Команда,Поточний рейтинг,Гра 1 Результат,Гра 1 Місце,Гра 1 μ,Гра 1 σ,Гра 1 Рейтинг,Гра 2 Результат,Гра 2 Місце,Гра 2 μ,Гра 2 σ,Гра 2 Рейтинг,Гра 3 Результат,Гра 3 Місце,Гра 3 μ (×2),Гра 3 σ (×2),Гра 3 Рейтинг (×2)
Де Лореан?,977.49,,,,,,20,38,17.5700,6.5957,1021.89,22,36,6.7177,5.6102,977.49
Лось Barbudos,973.92,,,,,,18,45,7.9753,6.5957,973.92,,,,,
Манія Величі,972.96,19,26,21.8040,7.0016,1039.00,,,,,,21,38,6.2470,5.8279,972.96
Генератор,966.92,,,,,,,,,,,22,36,6.2510,6.4331,966.92
Mamihlapinatapai,960.46,,,,,,21,36,21.4096,6.5957,1041.09,17,41,3.3031,5.6059,960.46
Душніли Юнайтед,953.44,14,40,6.4632,7.0016,962.30,23,30,13.8494,6.0393,1008.85,18,40,1.2527,5.2824,953.44
Атол Бікіні Боттом,951.97,17,34,14.1336,7.0016,1000.65,20,38,11.7876,6.0162,998.78,20,39,0.9389,5.2720,951.97
Sich,949.52,13,42,3.9064,7.0016,949.52,,,,,,,,,,
DC,945.13,,,,,,17,50,2.2180,6.5957,945.13,,,,,
Брама,945.13,,,,,,17,50,2.2180,6.5957,945.13,,,,,
КАВА,945.13,,,,,,17,50,2.2180,6.5957,945.13,,,,,
Пунктуальність,945.13,,,,,,17,50,2.2180,6.5957,945.13,,,,,
Харківська весільна слононіжка,939.60,,,,,,20,38,17.5700,6.5957,1021.89,16,42,-0.8434,5.6181,939.60
Ми з Миколаєва,936.73,12,44,1.3496,7.0016,936.73,,,,,,,,,,
Скільки в нас мушкетів?,936.73,12,44,1.3496,7.0016,936.73,,,,,,,,,,
Soles,936.31,14,40,6.4632,7.0016,962.30,18,45,-0.6597,6.0393,936.31,,,,,
BBQ test 300,927.14,10,46,-0.5680,7.0016,927.14,,,,,,,,,,
Вабі Сабі,922.76,,,,,,16,54,-2.2564,6.5957,922.76,,,,,
Чайка на ім'я мартин Іден,922.76,,,,,,16,54,-2.2564,6.5957,922.76,,,,,
Нащадки Гуріна,914.36,9,47,-3.1248,7.0016,914.36,,,,,,,,,,
Playboy Україна,914.36,9,47,-3.1248,7.0016,914.36,,,,,,,,,,
КоньякСпорт,914.36,9,47,-3.1248,7.0016,914.36,,,,,,,,,,
К-2,909.98,,,,,,15,57,-4.8131,6.5957,909.98,,,,,
Нет оторвы,901.58,7,50,-5.6816,7.0016,901.58,,,,,,,,,,
Rule34,900.39,,,,,,14,58,-6.7307,6.5957,900.39,,,,,
Шабля,900.39,,,,,,14,58,-6.7307,6.5957,900.39,,,,,
ЗМЗ 2024,895.18,4,51,-6.9600,7.0016,895.18,,,,,,,,,,
ЧЧЗЗ,890.80,,,,,,13,60,-8.6483,6.5957,890.80,,,,,
Тореадори з Країни Сонячних Зайчиків,889.72,15,38,9.0200,7.0016,975.08,,,,,,15,43,-10.2831,5.8865,889.72
Злобні Урук-хай,883.46,,,,,,18,45,7.9753,6.5957,973.92,9,45,-11.9914,5.6579,883.46
ВеЧерКом,881.21,,,,,,12,61,-10.5659,6.5957,881.21,,,,,
МЛК,881.21,,,,,,12,61,-10.5659,6.5957,881.21,,,,,
ЩДКоти,878.33,16,36,11.5768,7.0016,987.87,10,64,-12.2885,6.0228,878.33,,,,,
БЗ,873.04,,,,,,18,45,7.9753,6.5957,973.92,8,46,-14.0702,5.6609,873.04
Льолік і Болік,871.63,,,,,,11,63,-12.4835,6.5957,871.63,,,,,
Серьога Хруст і Гідрогарік,858.82,,,,,,7,65,-15.0448,6.5957,858.82,,,,,
Бар Міцва,851.96,,,,,,,,,,,7,48,-16.6434,6.4823,851.96
ДНК,834.46,,,,,,16,54,-2.2564,6.5957,922.76,8,46,-21.6917,5.7082,834.46
